Net secretion,SRS011061,SRS012902,SRS011134,SRS054956
EX_mqn7[fe],0.00040773055130415015,1.400202546741891e-05,0.001430989205868094,4.989433963503709e-05
EX_mqn8[fe],2.0075592357455774,7.027597336228913,1.3101558655179733,0.0
EX_mso3[fe],0.0,0.0,0.0,0.0
EX_na1[fe],0.0,0.0,0.0,0.0
EX_nac[fe],123.86241167317259,116.64642901510442,55.238098303587286,18.11191964266573
EX_ncam[fe],43.52769453692148,44.83067080217294,10.081705863901716,0.041772425940026364
EX_nh4[fe],310.8531704,248.41418199999998,186.83268919999998,63.203860399999996
EX_nmn[fe],0.0,0.0,0.0,0.0
EX_no2[fe],0.1,0.1,0.1,0.0
EX_no3[fe],0.0,0.0,0.0,0.0
EX_o2[fe],0.0009253538361087501,3.177791788749999e-05,0.003247662817625,0.00011323634795999999
EX_ocdca[fe],149.2217812918361,142.3000960354495,132.19031957139316,63.16881179858276
EX_ocdcea[fe],0.014381562795264813,0.0004938825601215058,0.05047416990882425,0.001759884257623412
EX_orn[fe],131.95374399999997,111.61451399999999,33.350916,3.786971600000001
EX_pac[fe],12.440900000000001,26.900787199999996,2.328162,55.025534799999996
EX_pb[fe],0.0,0.0,0.0,0.0
EX_pect[fe],0.0,0.0,0.0,0.0
EX_pecticgal[fe],0.0,0.0,0.0,0.0
EX_phe_L[fe],28.204105647372526,32.77177347959109,18.381587146334464,37.359012253994905
EX_pheme[fe],0.00020386527565285917,7.0010127330988325e-06,0.0007154946029341858,2.4947169817934878e-05
EX_pi[fe],0.7561578680595069,0.5249147186659293,0.3484577741103312,0.18060463751593048
EX_pnto_R[fe],0.0004077305513070506,1.4002025467529933e-05,0.0014309892058763651,4.9894339635869756e-05
EX_ppa[fe],295.1443068,239.9651596,180.7676128,63.203860399999996
EX_ppi[fe],6.7352257056167275,6.850847280313205,6.939075752591653,7.02300232088816
EX_pro_L[fe],122.76494400059381,32.3578217527628,58.3706500277612,59.085967675548105
EX_ptrc[fe],42.7861516,117.65455639999999,21.543180399999997,0.0
EX_pullulan1200[fe],0.0,0.0,0.0,0.0
EX_pydam[fe],0.0,0.0,0.0,0.0
EX_pydx[fe],0.00035064644708698856,0.0001643646287856071,0.0030139669209041653,9.877878231179249e-05
EX_pydxn[fe],0.3204712018103771,0.3208497123597787,0.3208121792015291,0.3210313956087683
EX_q8[fe],0.0,0.0,0.0,0.0
EX_raffin[fe],0.0,0.0,0.0,0.0
EX_rhamnogalurII[fe],0.0,0.0,0.0,0.0
EX_rhamnogalurI[fe],0.0,0.0,0.0,0.0
EX_rib_D[fe],0.0,0.0,0.0,0.0
EX_ribflv[fe],0.001021053209893652,0.00034387801222246495,0.0016677885617550903,4.989433963503709e-05
EX_rmn[fe],0.0,0.0,0.0,0.0
EX_sT_antigen[fe],1.0,1.0,1.0,0.3051452
EX_sTn_antigen[fe],0.0,0.0,0.0,0.0
EX_salcn[fe],0.0,0.0,0.0,0.0
EX_ser_L[fe],304.853629337962,245.00228832245836,172.34857764726908,63.20386039999999
EX_sheme[fe],0.000203865275652082,7.001012733709455e-06,0.000715494602934047,2.4947169817518544e-05
EX_so3[fe],0.0,0.0,0.0,0.0
EX_so4[fe],18.994560949222432,18.996447784545865,12.358078889618525,18.998804132637517
EX_spmd[fe],0.000203865275652082,7.001012733709455e-06,0.000715494602934047,2.4947169817518544e-05
EX_strch1[fe],0.0,0.0,0.0,0.0
EX_strch2[fe],19.916045399999998,0.20266889999999999,10.143232900000001,0.0951727
EX_stys[fe],0.0,0.0,0.0,0.0
EX_succ[fe],310.8531704,248.41418199999998,186.8326892,63.20386039999999
EX_sucr[fe],0.0,0.0,0.0,0.0
EX_sulfac[fe],0.0,0.0,0.0,0.0
EX_taur[fe],20.0,20.0,20.0,20.0
EX_tchola[fe],0.0,0.0,0.0,0.0
EX_tdchola[fe],0.0,0.0,0.0,0.0
EX_thm[fe],0.000203865275651971,7.001012733987011e-06,0.0007154946029341858,2.4947169817934878e-05
EX_thr_L[fe],282.364451403077,241.4403049677211,129.01593008692484,61.62010731770138
EX_thymd[fe],171.60078758433448,169.5408517498863,88.32514650702763,59.97902117149162
EX_tma[fe],0.0,0.0,0.0,0.0
EX_tmao[fe],0.0,0.0,0.0,0.0
EX_tre[fe],0.0,0.0,0.0,0.0
EX_trp_L[fe],28.14448950133342,17.090109720042186,3.659566500726296,26.350203914221815
EX_tsul[fe],0.0,0.0,0.0,0.0
EX_ttdca[fe],55.87983366436816,50.88734889596886,25.889006930724605,21.187963927182714
EX_tyr_L[fe],1.530257991360621,0.832869955078781,0.6291800852873486,0.0009722668992662165
EX_ura[fe],0.0,0.0,0.0,0.0
EX_urea[fe],187.54019008039063,129.84733970073214,36.776043324410736,57.983500436885265
EX_uri[fe],176.4445365166091,171.97071320738885,100.62406246860357,60.71382893326237
EX_val_L[fe],268.4789751736544,238.73407814297582,52.22139192278005,59.60919022888418
EX_xan[fe],0.0,0.0,0.0,0.0
EX_xyl_D[fe],0.0,0.0,0.0,0.0
EX_xylan[fe],0.0,0.0,0.0,0.0
EX_xyluglc[fe],0.0,0.0,0.0,0.0
EX_zn2[fe],0.005439050777566623,0.0035522154541413886,0.002375925566193954,0.0011958673624728744
